"Keyword","CompanyName","Reviews","Type","Address","Phone","Website"
"software company in bangladesh","DIGITAL INTELLIGENCE SYSTEM LTD.","4.3","(4) · Software company","ঢাকা","+losed ⋅ Opens 9AM Sat · 01841-135271","https://www.google.com/aclk?sa=l&ai=DChcSEwjlg9i0orT4AhVPmGYCHW8bDDMYABAAGgJzbQ&sig=AOD64_1Z-qtQiGoYIWO0Lb23-zQPnujF1A&q=&ctype=99&ved=2ahUKEwjGidK0orT4AhXqR2wGHUGuCCsQhKwBegQIAhAc&adurl="
"software company in bangladesh","TigerIT Bangladesh Ltd.","4.2","(248) · Software company","Block-K, House#21 Rd No.28","+losed ⋅ Opens 10AM Mon","http://www.tigerit.com/"
"software company in bangladesh","Therap (BD) Ltd.","4.4","(253) · Software company","House 47, Rd No. 4","+losed ⋅ Opens 9AM Sun","http://therapbd.com/"
"software company in bangladesh","Brain Station 23","4.7","(416) · Software company","8th Floor, 2 Bir Uttam AK Khandakar Road","+pen ⋅ Closes 9:30PM · 01404-055220","http://www.brainstation-23.com/"
"software company in bangladesh","Enosis Solutions","4.4","(385) · Software company","House - 27 Rd No 8","+pen ⋅ Closes 7PM · 02-8836411","https://www.enosisbd.com/"
"software company in bangladesh","Vivasoft Limited","4.6","(82) · Software company","Floor #16, Ahmed Tower, 28, 30, 1213 Kemal Ataturk Ave","+pen ⋅ Closes 7PM · 01713-428432","http://www.vivasoftltd.com/"
"software company in bangladesh","Cybridge Bangladesh","5.0","(11) · Software company","House-257, Road-19/A, Flat-A-3","+loses soon ⋅ 5PM · 01717-404447","https://bd.cybridge.jp/"
"software company in bangladesh","Logic Software Limited","4.7","(48) · Software company","Flat- A2, House, 4/B Rd No 62","+losed ⋅ Opens 9AM Sat · 01909-299990","http://www.logicsoftbd.com/"
"software company in bangladesh","WellDev Bangladesh Ltd.","4.6","(50) · Software company","Ahmed Tower, Kemal Ataturk Avenue","+pen 24 hours · 09678-771454","http://welldev.io/"
"software company in bangladesh","AnyConnect (Bangladesh) Limited","4.6","(14) · Software company","House 106 Rd 12","+pen ⋅ Closes 6PM","http://www.anyconnect.com/"
"software company in bangladesh","Kaz Software - Bangladesh","4.8","(200) · Software company","35/5 Shantinagar Bazar Rd","+pen ⋅ Closes 7PM · 02-48315727","https://kaz.com.bd/"
"software company in bangladesh","Datasoft Systems Bangladesh Limited","4.2","(411) · Software company","Rupayan Shelford, 20th Floor, 23/6 Mirpur Rd · In Rupayan Shelford","+losed ⋅ Opens 9AM Sun · 02-9110136","http://datasoft-bd.com/"
"software company in bangladesh","Smart Software Ltd.","4.6","(50) · Software company","152, 2/N Panthapath","+pen ⋅ Closes 12AM · 01844-047001","https://www.smartsoftware.com.bd/"
"software company in bangladesh","Cefalo Bangladesh Ltd.","4.8","(126) · Software company","House no: 12 Road no: 12","+pen ⋅ Closes 7PM · 01790-233256","http://www.cefalo.com/"
"software company in bangladesh","Orbit Informatics","4.4","(29) · Software company","Sylvania Apartment (9th Floor), House No- Ka-6/A, Dhaka","+losed ⋅ Opens 10AM Sun · 01972-028888","http://www.orbitinformatics.com/"
"software company in bangladesh","Arena Phone Bd Limited","4.9","(54) · Software company","Rupayan Center(6th floor),72 Mohakhali, C/A Bir Uttam AK Khandakar Road","+losed ⋅ Opens 9AM Sun · 01814-663094","https://www.arena.com.bd/"
"software company in bangladesh","Extreme Solutions I Mobile Apps & ERP Software Development Company in Dhaka, Bangladesh","5.0","(6) · Software company","KA-62/1(4th floor) Kuril Chourasta","+losed ⋅ Opens 10AM Sat · 01977-251582","https://extreme-solutions-apps-development-best-erp-software-company.business.site/"
"software company in bangladesh","Invento Software Limited","4.3","(39) · Software company","House: 484, Road: 32, Mohakhali DOHS 5th floor","+losed ⋅ Opens 10AM Sun · 01713-178224","http://invento.com.bd/"
"software company in bangladesh","Southtech Limited","4.4","(116) · Software company","4th Floor, Dhaka Square Center, Plot 1 সড়ক - ১৩","+losed ⋅ Opens 9AM Sun · 01904-422133","https://www.southtechgroup.com/"
"software company in bangladesh","Syntech Solution Ltd.","4.3","(45) · Software company","House-45 Rd No 20","+losed ⋅ Opens 9:30AM Sun · 01715-054769","http://www.syntechbd.com/"
"software company in bangladesh","Phoenix Software","4.0","(8) · Software company","68-69 Green Road, Concept Tower, Panthapath, Dhanmondi, Dhaka-1205, Bangladesh., Green Road Panthapath","+losed ⋅ Opens 10AM Sat · 01743-056775","http://phoenixsoftbd.com/"
"software company in bangladesh","Workspace Infotech Limited","4.6","(74) · Software company","16 Rd No. 12","+loses soon ⋅ 5PM · 02-55098341","http://www.workspaceit.com/"
"software company in bangladesh","Monstarlab Bangladesh","4.7","(57) · Software company","Plot No. 4, 5th Floor, Mohakhali C/A Dhaka","+pen ⋅ Closes 6:30PM · 01878-191480","https://monstar-lab.com/bd/"
"software company in bangladesh","Software Development Company In Bangladesh","4.7","(3) · Software company","38, Hoque shaheber mor, 3 Ring Rd","+pen ⋅ Closes 8PM · 01766-681318","http://blubirdinteractive.com/services/software-development"
"software company in bangladesh","LEADS Corporation Limited","4.8","(170) · Software company","M-20, LEADS TOWER, Main ROAD-1","+losed ⋅ Opens 9AM Sun · 02-55138731","http://www.leads.com.bd/"
"software company in bangladesh","MLM Software Company Dhaka, Bangladesh.","5.0","(22) · Software company","20/1, Road 9, Block C","+pen 24 hours · 01912-975797","https://mlm-software-bd.com/"
"software company in bangladesh","IBCS-PRIMAX Software (Bangladesh) Ltd.","4.4","(143) · Software company","House- 6/2, (Level: 4 & 6) Kazi Nazrul Islam Road, Block- F","+losed ⋅ Opens 9AM Sun · 01713-397560","http://www.ibcs-primax.com/education/"
"software company in bangladesh","ROOPOKAR","4.7","(41) · Software company","Housing, Plot 503, Road 05, Block A, Shagufta New Rd","+losed ⋅ Opens 10:30AM Sat · 01715-374237","https://www.roopokar.com/"
"software company in bangladesh","Creative Soft Bangladesh","5.0","(4) · Software company","265 Rd 08","+losed ⋅ Opens 10AM Sat · 01737-510997","https://creativesoftbd.com/"
"software company in bangladesh","HRSOFT Bangladesh","4.9","(134) · Software company","12, 6 Salimullah Rd","+losed ⋅ Opens 9AM Sat · 01722-158130","http://hrsoftbd.com/"
"software company in bangladesh","Dynamic Solution Innovators (DSi)","4.6","(125) · Software company","177 Lane No 2","+pen ⋅ Closes 7PM · 01730-037400","http://www.dsinnovators.com/"
"software company in bangladesh","Rexoit: Your Compatible Partner","5.0","(23) · Software company","House #06, Apt 301, Road Lakeside 104","+pen ⋅ Closes 8PM · 01888-042371","https://www.rexoit.com/"
"software company in bangladesh","Unicorn Software and Solutions","4.8","(5) · Software company","24/3 Eskaton Garden Rd","+2-9360346","http://www.ussbd.com/"
"software company in bangladesh","Nobo IT","4.7","(105) · Software company","602/1-A, Begum Rokeya Avenue","+losed ⋅ Opens 10AM Sat · 01714-591565","https://www.noboit.com/"
"software company in bangladesh","Esteem Soft Limited","4.8","(49) · Software company","House 77 (2nd & 3rd Floor, Florance Rd","+losed ⋅ Opens 10AM Sat · 01844-004911","https://esteemsoftbd.com/"
"software company in bangladesh","Tekarsh Bangladesh Limited","3.7","(7) · Software company","House# 259, Level - 2, Road# 19","+losed ⋅ Opens 9AM Sun","https://www.tekarsh.com/"
"software company in bangladesh","Craftsmen - The home of software maestros","4.8","(32) · Software company","1st Floor, House # 272, Lane # 3, Eastern Rd","+loses soon ⋅ 5PM · 01730-358641","http://www.craftsmenltd.com/"
"software company in bangladesh","revinr","1.0","(1) · Software company","house 500 Rd No 34","+losed ⋅ Opens 2PM Sat · 01715-864162","http://www.revinr.com/"
"software company in bangladesh","Analyzen Bangladesh Ltd.","4.5","(137) · Software company","Level 1, House 1A, Road No. 16/A, Gulshan 1","+losed ⋅ Opens 10AM Sun · 01713-079712","http://www.analyzenbd.com/"
"software company in bangladesh","Star It Ltd - Software Company in Bangladesh","5.0","(8) · Software company","5th Floor (Lift Button-4), BBTOA Building, 9 No South, Mirpur Rd","+pen ⋅ Closes 6:30PM · 01958-068605","https://staritltd.com/"
"software company in bangladesh","Avalon Incorporation | Best software company in Bangladesh","5.0","(2) · Software company","Mirpur Shopping Center Complex, 6B, Freedom Tower (Behind, Mirpur: 02","+losed ⋅ Opens 9AM Sat · 02-58050634","https://avalon-incorporation.business.site/?utm_source=gmb&utm_medium=referral"
"software company in bangladesh","Sheba Technologies Limited","4.5","(54) · Software company","95 Bir Uttam AK Khandakar Rd · In Khaja Tower","+losed ⋅ Opens 9AM Sun · 01847-418950","http://www.shebatech.com.bd/"
"software company in bangladesh","FreshosoftBD","5.0","(7) · Software company","Mirpur, Dhaka Division, Bangladesh","+pen ⋅ Closes 7PM · 01940-072229","https://freshosoft.com.bd/"
"software company in bangladesh","WITS Software Ltd","5.0","(5) · Software company","46/A, Purana Paltan (Ground Floor), Dhaka, Bangladesh","+losed ⋅ Opens 10AM Sat · 02-7162896","http://www.witssoft.com/"
"software company in bangladesh","School Management Software In Bangladesh","5.0","(1) · Software company","152/2/N (4th F, Panthapath","+losed ⋅ Opens 12AM Sat · 01844-047001","https://www.schoolsoftware-bd.com/"
"software company in bangladesh","Tally Software Bangladesh AK SOFTWARE","4.7","(29) · Software company","9/19, Section -1, Mirpur 10, Roundabout","+losed ⋅ Opens 9AM Sat · 01712-929196","http://www.aksoftware.com.bd/"
"software company in bangladesh","Sunnah Software","4.1","(7) · Software company","139/1, Middle Paik Para, Mirpur-1 · In the Muhammadabad Islamia Alim Madrasah","+losed ⋅ Opens 10AM Sat · 01710-378491","http://www.sunnahsoftware.com/"
"software company in bangladesh","Jibika Plexus HR & Payroll Software in Bangladesh","4.9","(14) · Software company","ka-228 প্রগতি সারণী - দেবগ্রাম রোড","+losed ⋅ Opens 9AM Sat · 01977-542452","https://www.jibikaplexus.com/"
"software company in bangladesh","IGL Web™ Ltd","4.7","(126) · Accounting software company","House # 33, Road # 4, Dhanmondi, Dhaka-1205, Bangladesh, Rd No 4","+losed ⋅ Opens 12AM Sat · 01958-666999","https://iglweb.com/"
"software company in bangladesh","Best Web Design Company in Bangladesh","5.0","(5) · Software company","20/16 Ground Floor, Tajmahal Rd","+1310-861574","https://cyber.com.bd/"
"software company in bangladesh","Kona Software Lab Limited","4.6","(90) · Software company","Hatirjheel Bridge · In Oppo","+losed ⋅ Opens 8AM Sun","https://konasl.com/"
"software company in bangladesh","Nogor Solutions Limited","4.1","(90) · Software company","House 69 Road 8, Block D, Niketon","+losed ⋅ Opens 10AM Sat · 01717-426494","http://www.nogorsolutions.com/"
"software company in bangladesh","Wizard Software & Technology Bangladesh Ltd. ( WizTecBD)","5.0","(20) · Software company","52/A Lake Circus Rd","+losed ⋅ Opens 10AM Sat · 01600-299169","http://www.wiztecbd.com/"
"software company in bangladesh","Orbitax Bangladesh Limited","4.8","(32) · Software company","113 Kazi Nazrul Islam Ave","+losed ⋅ Opens 11AM Sun · 02-9346933","http://www.orbitaxbd.com/"
"software company in bangladesh","Dhrupadi Techno Consortium Limited (DTCL)","4.5","(31) · Software company","House # 431(3rd Floor), Road # 30, New DOHS,","+pen 24 hours · 01933-224606","http://www.dtclbd.com/"
"software company in bangladesh","WinSoft Organization Limited","4.2","(6) · Software company","6th Floor, 661","+losed ⋅ Opens 9AM Sun · 09614-500751","http://winsoftbd.com/"
"software company in bangladesh","Daffodil Software Limited","4.5","(60) · Software company","DF Tower, Flat 6B, 11 A, House No. 11, Rd No 14, Sobhanbag Rd","+losed ⋅ Opens 9AM Sat · 01713-493026","http://www.daffodilsoft.com/"
"software company in bangladesh","Pamir Bangladesh Limited","5.0","(18) · Software company","40/7 E 40/7 H, Johuri Moholla, Mohammadpur, Dhaka","+pen 24 hours","http://pamirbd.com/"
"software company in bangladesh","Door Soft","4.7","(3) · Software company","House No: 5, Road No: 4 ঢাকা","+losed ⋅ Opens 10AM Sat · 01812-391633","https://doorsoft.co/"
"software company in bangladesh","Kovair Software Bangladesh Ltd.","4.6","(8) · Software company","46, Kazi Nazrul Islam Avenue, Ahmed Mansion, Level-6, Dhaka","+losed ⋅ Opens 9AM Sat · 01837-791177","http://kovair.com/"
"software company in bangladesh","SELISE Digital Platforms","4.8","(140) · Software company","House 5, MIDAS Center, Secure Link Services BD Ltd, Rd No. 27","+losed ⋅ Opens 9AM Sun · 02-9104556","http://selise.ch/"
"software company in bangladesh","Codeware Limited","4.9","(35) · Software company","683-684, Road No. 12","+losed ⋅ Opens 9AM Sun · 01771-212979","https://www.codewareltd.com/"
"software company in bangladesh","DataCraft Limited","4.6","(18) · Software company","Rd No 14","+losed ⋅ Opens 10AM Sat · 01911-939408","http://www.datacraftbd.com/"
"software company in bangladesh","Pridesys IT Ltd. R&D Center","5.0","(38) · Software company","Level-11, Software Technology Park Vision 2021 Tower","+losed ⋅ Opens 9AM Sat · 01550-000003","http://www.pridesys.com/"
"software company in bangladesh","Foresight IT","4.4","(22) · Software company","8th Floor, Khan Plaza, Mirpur 10 Roundabout","+pen ⋅ Closes 6PM · 02-58052409","http://www.foresight-it.net/"
"software company in bangladesh","Syftet Ltd","5.0","(16) · Software company","House #512, Road #7, Avenue #3","+pen ⋅ Closes 6PM · 01722-647240","http://www.syftet.com/"
"software company in bangladesh","Cimsolutions Bangladesh Limited","4.7","(3) · Software company","Building, 6th Floor, 7, BTMC, 9 Kawran Bazar Rd · In Bangladesh Textile Mills Corporation Bhaban","+pen ⋅ Closes 7PM · 0818-9680","http://www.cimsolutions.com.bd/"
"software company in bangladesh","Dhrubok Infotech Services Ltd.","4.6","(33) · Software company","4th Floor, Khan Niketon, 9/2 Ring Rd","+losed ⋅ Opens 9AM Sun · 01790-603121","http://www.dhrubokinfotech.com/"
"software company in bangladesh","Next Page Technology Ltd.| Best software company in Bangladesh","4.9","(66) · Software company","House # 24, Road # 02 Sector # 03, Uttara Model Town Dhaka","+losed ⋅ Opens 9AM Sat · 01300-446868","https://nextpagetl.com/"
"software company in bangladesh","Acrinet Information Systems || The best web design & development company in Dhaka, Bangladesh","5.0","(3) · Software company","11/1 Circular Road","+pen ⋅ Closes 11PM · 01556-335332","http://acrinet.com/"
"software company in bangladesh","Smart HRM - HR & Payroll Software in Bangladesh","5.0","(5) · Software company","152/2/N (4th F, Panthapath","+losed ⋅ Opens 12AM Sat · 01844-047001","http://www.hrmsoftwarebd.com/"
"software company in bangladesh","Cloud House™ Technologies Bangladesh","5.0","(2) · Software company","302/1/A, Mollapara","+pen 24 hours · 01713-121070","http://www.cloudhousebd.com/"
"software company in bangladesh","SoftWorks","4.6","(9) · Software company","Alamin Apon Heights, House-27/1/B, R-03, 9th Floor (9D), Shamshul Alamin Real State Ltd","+losed ⋅ Opens 9:30AM Sat · 01819-295651","http://www.softworksbd.com/"
"software company in bangladesh","SammTech Bangladesh","5.0","(2) · Software company","2-G/8, Maa House, Golden Street, Ring Rd","+losed ⋅ Opens 9AM Sat · 01720-087583","https://www.samm-tech.com/"
"software company in bangladesh","Technohaven Company Ltd","4.1","(46) · Software company","9th floor, Fattah Plaza, 70 Green Rd","+losed ⋅ Opens 9AM Sun · 01711-696204","https://technohaven.com/"
"software company in bangladesh","Merge Creation","3.9","(18) · Software company","Dhaka","+losed ⋅ Opens 10AM Sat · 01768-607919","http://www.mergecreation.net/"
"software company in bangladesh","Software Company In Bangladesh","5.0","(1) · Software company","132/2 sk goli bata signal, New Elephant Rd","+pen 24 hours · 01836-375309","https://www.techhelpinfo.com/"
"software company in bangladesh","Creative Tech Park","4.7","(223) · Software company","The Imperial Irish Kingdom, Mo-03 (3rd Floor","+pen ⋅ Closes 3AM · 01639-200002","https://www.creativetechpark.com/"
"software company in bangladesh","N I Biz Soft","3.6","(33) · Software company","37 Gausul Azam Ave","+losed ⋅ Opens 9AM Sat · 01712-643138","https://nibizsoft.com/"
"software company in bangladesh","Azolve Technologies Bangladesh Limited","4.8","(12) · Software company","12, BDBL Bhaban, 4th Floor","+pen ⋅ Closes 12AM · 02-9143109","https://www.azolve.com/"
"software company in bangladesh","Elegance IT Solution","5.0","(2) · Software company","House No, 436 Rd No. 14","+losed ⋅ Opens 9AM Sat · 01781-885191","http://eleganceit.co/"
"software company in bangladesh","MY SOFT IT","4.2","(18) · Software company","87 BNS Center Sector:07, Uttara Dhaka 1230 Road · In BNS Center","+losed ⋅ Opens 10AM Sat · 01941-698614","http://my-softit.com/"
"software company in bangladesh","Software IT","5.0","(3) · Software company","147B, East Monipur Road","+pen 24 hours · 01718-888773","http://softwareit.com.bd/"
"software company in bangladesh","Best Website Design Company in Bangladesh","5.0","(4) · Software company","V97X+PJG, Tropical Alauddin Tower And Shopping Complex, Uttara","+losed ⋅ Opens 9AM Sun · 01610-676744","https://tweetech.agency/"
"software company in bangladesh","Informex It Solution","5.0","(1) · Software company","Mohakhali Wirelese Gate, House-G.P. JA – 77, Level – 1 ঢাকা","+losed ⋅ Opens 10AM Sat · 01717-685378","http://informexit.com/"
"software company in bangladesh","United IT Solution Ltd.","4.3","(12) · Software company","Road # 11,House # 1287, Ave#02 ঢাকা","+losed ⋅ Opens 9AM Sat · 01971-335588","http://www.uniteditbd.com/"
"software company in bangladesh","AzureTech Bangladesh","4.4","(9) · Software company","SHATABDI CENTER, Suite-9F, 292, Inner Circular Road, · In কন্টিনেন্টাল কুরিয়ার সার্ভিস শতাব্দী সেন্টার শাখা","+losed ⋅ Opens 10AM Sat · 01866-370773","http://azuretechbangladesh.com/"
"software company in bangladesh","e-soft","4.4","(15) · Software company","Kawran Bazar 1 No Rd","+pen 24 hours · 01779-666611","https://esoft.com.bd/"
"software company in bangladesh","Software development company in Bangladesh - STI LIMITED BD","5.0","(8) · Software company","Kha-51, Road no. 06, Nikunja 02 Dhaka","+loses soon ⋅ 5PM · 01644-397524","https://www.stilimitedbd.com/"
"software company in bangladesh","Secure IT Solution is a software company in Bangladesh. Secure IT Solution have a good software for school/college .","5.0","(1) · Software company","2/2 ( Aziz Autos), 1st floor, Culvert Road","+losed ⋅ Opens 9AM Sat · 01978-984717","http://sisbd.info/"
"software company in bangladesh","Generation- Next IT Solution Ltd.","4.5","(4) · Software company","Kha 225 Pragoti sarani, Bir Uttam Rafiqul Islam Ave","+losed ⋅ Opens 9:30AM Sat · 01611-365897","http://gnisbd.com/"
"software company in bangladesh","XO Tech (Bangladesh)","5.0","(2) · Software company","259 karmichael Rd","+1995-181328","http://www.xobd.xyz/"
"software company in bangladesh","GPIT","4.9","(10) · Software company","164/1 middle","+pen ⋅ Closes 10PM · 01611-536464","http://www.gpit.com.bd/"
"software company in bangladesh","Ultra Soft","4.4","(8) · Software company","44 Probal Housing Ring Road (4rd Floor), Adabor, Dhaka-1207 4rd Floor · In 45, Probal Tower","+losed ⋅ Opens 10AM Sat · 01908-511836","http://ultrasoftbd.com/"
"software company in bangladesh","Link-Up Technology Ltd.","4.4","(58) · Software company","Begum Rokeya Avenue, Mirpur 10 Roundabout","+pen ⋅ Closes 11:59PM · 01911-978897","http://linktechbd.com/"
"software company in bangladesh","Together Initiatives (p) Limited","4.4","(13) · Software company","147/E, Green Rd","+losed ⋅ Opens 9AM Sun","http://www.i2gether.com/"
"software company in bangladesh","Rs Software","4.0","(9) · Software company","House : 36 (Flat A2 ), 2nd Floor Road, 3 ব্লক # সি","+losed ⋅ Opens 10AM Sat · 01673-600633","http://www.therssoftware.com/"
"software company in bangladesh","Vyapar Bangladesh","5.0","(1) · Software company","Ring Rd · In Probal Housing","+losed ⋅ Opens 10AM Sat · 01722-559037","http://vyaparappbd.com/"
"software company in bangladesh","Inovace Technologies Ltd","4.9","(41) · Software company","Level-4, H-18, 5 Kazi Nazrul Islam Ave","+losed ⋅ Opens 9AM Sat · 01911-109137","http://www.inovacetech.com/"
"software company in bangladesh","FIREFLY INFOTECH LTD.","5.0","(1) · Software company","Holding No-2/32, Boundary Road, Block-Kha, Mirpur 10 Roundabout","+losed ⋅ Opens 10AM Sat · 01611-008280","https://www.fireflybd.com/"
"software company in bangladesh","TREND soft","5.0","(1) · Software company","House-35, Road-1, Block-A, Niketon","+emporarily closed","http://www.trendsoft.com.bd/"
"software company in bangladesh","DIMS Prescription, Best Prescription Writing Software in Bangladesh","4.6","(10) · Software company","63/F, Lake Circus, Kalabagan West, 1205 Panthapath","+losed ⋅ Opens 10AM Sat · 01794-724653","http://dimsrx.com/"
"software company in bangladesh","Bangladesh Web Solution","5.0","(5) · Software company","Road · In BNS Center","+losed ⋅ Opens 10AM Sat · 01641-114030","https://bangladeshwebsolution.com/"
"software company in bangladesh","IT Manob Inc.","5.0","(5) · Software company","Level-5, House-6, Road-2/B Baridhara J Block","+91 96382 58799","http://www.itmanob.com/"
"software company in bangladesh","Trinoya Solution","No reviews · Software company","371/A (3rd floor) Muktobangla Shopping Complex Dhaka Dhaka","Open ⋅ Closes 6PM · 01921-753983","+nline appointments","http://trinoyasolution.com/"
"software company in bangladesh","Renessa Info Systems Ltd.","5.0","(9) · Software company","Tower 11th Floor, 37, Zaman, 2 Culvert Road","+losed ⋅ Opens 9AM Sat · 01768-843688","http://www.renessainfosystems.com/"
"software company in bangladesh","D Money Bangladesh Ltd.","4.1","(20) · Software company","Bay’s 23, Level 4, Plot 6, Block, SW (1 Gulshan Ave","+losed ⋅ Opens 10AM Sun · 09610-737373","http://dmoney.com.bd/"
"software company in bangladesh","Spectrum Engineering Consortium Limited","4.5","(56) · Software company","BDBL Bhaban, 7th Floor, 12 Kazi Nazrul Islam Ave · In BDBL Bhaban","+losed ⋅ Opens 9AM Sat","http://www.spectrum-bd.com/"
"software company in bangladesh","Restora POS - Best Restaurant Management Software in Bangladesh","4.9","(12) · Software company","Mannan Plaza · In Mannan Plaza","+losed ⋅ Opens 9AM Sat · 01531-987110","https://restorapos.com/"
"software company in bangladesh","JoomShaper","4.6","(257) · Software company","4, Navana Newbury Place, 1/A Sobhanbag Rd","+pen ⋅ Closes 6PM","https://www.joomshaper.com/"
"software company in bangladesh","Stripling IT","5.0","(3) · Software company","House 23(2A), Road 3C","+losed ⋅ Opens 9AM Sat · 01953-330058","http://striplingit.com/"
"software company in bangladesh","BizIT Solutions Ltd.","5.0","(7) · Software company","House 41 Rd 10/A · In IBN Sina Pharmaceuticals Industry Ltd.","+pen ⋅ Closes 6PM","http://www.bizitsolutionsltd.com/"
"software company in bangladesh","MadThrone","5.0","(4) · Software company","House 20/A, Tolarbag Residential Area, Darus Salam Rd","+1967-311499","https://madthrone.com/"
"software company in bangladesh","eDorpon","4.1","(10) · Software company","House# 735, Road# 11 Avenue 4","+losed ⋅ Opens 9AM Sat · 01888-015000","http://www.edorpon.com/"
"software company in bangladesh","MetaKave","4.6","(28) · Software company","402, 24 Avenue 5","+losed ⋅ Opens 10AM Sun · 01711-056474","https://metakave.com/"
"software company in bangladesh","Wardan Tech Limited","4.4","(22) · Software company","House 23(2A), Road 3C","+losed ⋅ Opens 10AM Sat · 01792-156494","https://wardan.tech/"
"software company in bangladesh","Tirzok Private Limited","5.0","(6) · Software company","Suite # 605 (5th Floor), Alpona Plaza, New Elephant Rd · In Priyangan Shopping Center","+losed ⋅ Opens 10AM Sat · 01870-749000","https://tirzok.com/"
"software company in bangladesh","Global Soft Tech","5.0","(9) · Software company","Paltan China Town, East Tower - Suite #17/3, Level-16, 68 Naya Paltan, VIP Road Dhaka-1000","+losed ⋅ Opens 9AM Sat · 01616-121121","http://www.gsoftt.com/"
"software company in bangladesh","HawkEyes Digital Monitoring Ltd.","4.9","(16) · Software company","4th floor, House, 5 Road-3","+losed ⋅ Opens 10AM Sat · 01711-081888","http://www.hedigital.tech/"
"software company in bangladesh","Last Man Stands (Bangladesh)","4.0","(1) · Software company","66 Outer Circular Rd","+losed ⋅ Opens 11AM Sun","https://www.lastmanstands.com/"
"software company in bangladesh","Artificial Soft","4.7","(26) · Software company","SEL Rose-N-Dale, 116 Kazi Nazrul Islam Ave · In Sel Rose N Dale","+losed ⋅ Opens 10AM Sat · 01989-999003","http://www.artificial-soft.com/"
"software company in bangladesh","UpTurn Dhaka office","5.0","(3) · Software company","32, 1207 Road No. 3","+1601-466111","http://upturnit.org/"
"software company in bangladesh","Software company in Bangladesh | MHSofts","5.0","(8) · Software company","401/11,Jublee Bhaban,2nd floor,Monir Chemical Road,DUET","+pen 24 hours · 01716-271766","https://mhsofts.com/"
"software company in bangladesh","Top Graphic Design Company Bangladesh","5.0","(1) · Software company","Dhaka","+losed ⋅ Opens 9AM Sat · 01312-676744","https://tweetech.agency/"
"software company in bangladesh","Jax Hi-Tech","5.0","(1) · Software company","2nd floor, 63c Asad Ave","+losed ⋅ Opens 9AM Sat · 01714-303874","http://jaxhitech.com/"
"software company in bangladesh","DUSRA Soft Limited","4.8","(53) · Software company","House-79(3rd floor), Road-12/A","+pen ⋅ Closes 8PM · 01714-691963","https://dusrasoft.com/"
"software company in bangladesh","PI Software Limited","5.0","(1) · Software company","222, Faidabad (Primary School Road","+loses soon ⋅ 6PM · 01717-416488","http://pisoftwareltd.com/"
"software company in bangladesh","POS Software in Bangladesh","5.0","(1) · Accounting software company","BBTOA Building, 4th Floor, 09 Mirpur Rd","+pen 24 hours · 01689-063954","https://staritltd.com/pos-software-in-bangladesh/"
"software company in bangladesh","Accounting Software in Bangladesh | Troyee Software","5.0","(10) · Accounting software company","46 Kazi Nazrul Islam Ave","+losed ⋅ Opens 9AM Sat · 01877-739329","https://troyee.com/"
